entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-02-05T10:01:00+03:00,2025-02-05T11:00:00+03:00,Long,1,100.1700,99.4888,stop_loss,-0.6812,29998.89
2025-02-06T10:01:00+03:00,2025-02-06T11:01:00+03:00,Short,1,97.0900,97.7211,stop_loss,-0.6311,29998.26
2025-02-07T10:01:00+03:00,2025-02-07T13:35:00+03:00,Long,1,99.0800,98.4063,stop_loss,-0.6737,29997.58
2025-02-10T10:01:00+03:00,2025-02-10T12:10:00+03:00,Short,1,98.8100,98.5333,take_profit,0.2767,29997.86
2025-02-11T10:01:00+03:00,2025-02-11T10:11:00+03:00,Short,1,97.9000,97.6259,take_profit,0.2741,29998.14
2025-02-12T10:01:00+03:00,2025-02-12T10:16:00+03:00,Short,1,96.8100,96.5389,take_profit,0.2711,29998.41
2025-02-13T10:01:00+03:00,2025-02-13T10:33:00+03:00,Short,1,92.2900,92.8899,stop_loss,-0.5999,29997.81
2025-02-14T10:01:00+03:00,2025-02-14T10:04:00+03:00,Short,1,91.6000,92.1954,stop_loss,-0.5954,29997.21
2025-02-17T10:01:00+03:00,2025-02-17T10:24:00+03:00,Short,1,93.1700,92.9091,take_profit,0.2609,29997.47
2025-02-18T10:01:00+03:00,2025-02-18T10:04:00+03:00,Long,1,92.4200,92.6788,take_profit,0.2588,29997.73
2025-02-19T10:01:00+03:00,2025-02-19T10:26:00+03:00,Short,1,92.3100,92.0515,take_profit,0.2585,29997.99
2025-02-20T10:01:00+03:00,2025-02-20T10:25:00+03:00,Long,1,91.6000,90.9771,stop_loss,-0.6229,29997.37
2025-02-21T10:01:00+03:00,2025-02-21T10:10:00+03:00,Short,1,88.8500,89.4275,stop_loss,-0.5775,29996.79
2025-02-24T10:01:00+03:00,2025-02-24T10:02:00+03:00,Short,1,89.1000,88.8505,take_profit,0.2495,29997.04
2025-02-25T10:01:00+03:00,2025-02-25T11:54:00+03:00,Long,1,88.1500,87.5506,stop_loss,-0.5994,29996.44
2025-02-26T10:01:00+03:00,2025-02-26T10:59:00+03:00,Long,1,87.4800,87.7249,take_profit,0.2449,29996.68
2025-02-27T10:01:00+03:00,2025-02-27T10:03:00+03:00,Long,1,89.9300,90.1818,take_profit,0.2518,29996.94
2025-02-28T10:01:00+03:00,2025-02-28T11:05:00+03:00,Long,1,90.6300,90.0137,stop_loss,-0.6163,29996.32
2025-03-03T10:01:00+03:00,2025-03-03T10:15:00+03:00,Long,1,90.3700,90.6230,take_profit,0.2530,29996.57
2025-03-04T10:01:00+03:00,2025-03-04T12:27:00+03:00,Short,1,89.9200,90.5045,stop_loss,-0.5845,29995.99
2025-03-05T10:01:00+03:00,2025-03-05T10:05:00+03:00,Long,1,90.1400,90.3924,take_profit,0.2524,29996.24
2025-03-06T10:01:00+03:00,2025-03-06T12:19:00+03:00,Long,1,90.9800,90.3613,stop_loss,-0.6187,29995.62
2025-03-07T10:01:00+03:00,2025-03-07T12:08:00+03:00,Long,1,90.4500,89.8349,stop_loss,-0.6151,29995.01
2025-03-10T10:01:00+03:00,2025-03-10T10:24:00+03:00,Long,1,88.9600,89.2091,take_profit,0.2491,29995.26
2025-03-11T10:01:00+03:00,2025-03-11T10:09:00+03:00,Short,1,87.5500,87.3049,take_profit,0.2451,29995.50
2025-03-12T10:01:00+03:00,2025-03-12T10:39:00+03:00,Short,1,87.4500,88.0184,stop_loss,-0.5684,29994.93
2025-03-13T10:01:00+03:00,2025-03-13T11:20:00+03:00,Long,1,88.2100,87.6102,stop_loss,-0.5998,29994.33
2025-03-14T10:01:00+03:00,2025-03-14T10:12:00+03:00,Long,1,86.9000,87.1433,take_profit,0.2433,29994.58
2025-03-17T10:01:00+03:00,2025-03-17T11:19:00+03:00,Short,1,86.2100,85.9686,take_profit,0.2414,29994.82
2025-03-18T10:01:00+03:00,2025-03-18T10:17:00+03:00,Long,1,83.9300,83.3593,stop_loss,-0.5707,29994.25
2025-03-19T10:01:00+03:00,2025-03-19T10:16:00+03:00,Short,1,84.9000,85.4519,stop_loss,-0.5519,29993.69
2025-03-20T10:01:00+03:00,2025-03-20T11:39:00+03:00,Long,1,85.8300,86.0703,take_profit,0.2403,29993.94
2025-03-21T10:01:00+03:00,2025-03-21T11:53:00+03:00,Long,1,86.7900,86.1998,stop_loss,-0.5902,29993.34
2025-03-24T10:01:00+03:00,2025-03-24T10:03:00+03:00,Short,1,85.5200,85.2805,take_profit,0.2395,29993.58
2025-03-25T10:01:00+03:00,2025-03-25T10:14:00+03:00,Long,1,86.4600,85.8721,stop_loss,-0.5879,29993.00
2025-03-26T10:01:00+03:00,2025-03-26T16:25:00+03:00,Short,1,85.2300,84.9914,take_profit,0.2386,29993.24
